crystal,chakra,zodiac,best uses
Abalone Shell,"Crown, Third Eye, Heart","Cancer, Aquarius, Pisces","Protection, Inner Peace, Cleansing, Love"
Actinolite,Heart,Scorpio,"New Beginnings, Self-Healing, Emotional Understanding"
Adamite,"Heart, Solar Plexus",Cancer,"Courage, Inspiration, Willpower"
Aegirine,All,"Taurus, Pisces","Balance, Confidence, Self-Discipline"
Agate,All,Gemini,"Clarity, Calming Energy, Uplifting Energy"
Agnitite,All,Leo,"Passion, Creativity, Intuition"
Agrellite,Heart,Aquarius,"Love, Compassion, Self-Worth"
Ajoite,"Heart, Throat, Crown",Virgo,"Feminine Energy, Connection With Spirit, Self-Awareness"
Alabaster,"Root, Sacral",Aries,"Manifestation, Intentions, Prosperity"
Alexandrite,"Heart, Throat, Third Eye, Soul Star",Scorpio,"Overcoming Fear, Motivation, Inner Peace"
Almandine,Root,Aquarius,"Grounding Energy, Truth, Manifestation, Fertility"
Amazonite,"Heart, Throat",Virgo,"Hope, Communication, Trust, Emotional Healing"
Amber,"Solar Plexus, Sacral","Leo, Libra, Aquarius","Abundance, Manifestation, Joy, Wisdom"
Amblygonite,All,Taurus,"Creativity, Physical Healing, Spiritual Energy"
Amethyst,"Third Eye, Crown, Etheric","Virgo, Sagittarius, Capricorn, Aquarius, Pisces","Sleep, Tranquility, Clairvoyance"
Ametrine,"Solar Plexus, Third Eye, Crown, Soul Star","Gemini, Libra, Pisces","Manifestation, Inner Peace, Transcendence"
Ammolite,Third Eye,Aquarius,"Ancient Wisdom, Spiritual Awakening, Truth"
Andalusite,"Sacral, Heart",Virgo,"Physical Healing, Emotional Stability, Protection"
Andradite,"Root, Solar Plexus, Heart",Aquarius,"Protection, Strength, Communication"
Angel Aura Quartz,"Crown, Etheric",Aries,"High Vibrational Energy, Self-Awareness, Joy"
Angelite,"Throat, Third Eye, Crown",Aquarius,"Lucid Dreaming, Psychic Abilities, Clairvoyance, Astral Projection"
Anhydrite,"Throat, Crown","Cancer, Scorpio, Aquarius, Pisces","Inner Peace, Acceptance, Emotional Balance"
Antigorite,"Root, Solar Plexus",Gemini,"Emotional Balance, Longevity, Grounding"
Apache Tears,Root,"Scorpio, Sagittarius","Nurturing, Anxiety-Relief, Balance"
Apatite,"Solar Plexus, Heart, Throat, Third Eye","Gemini, Capricorn, Pisces","Positive Energy, Vertical Vision, Meditation"
Apophyllite,"Third Eye, Crown","Gemini, Libra","Meditation, Intuition, Communication with Spirit Guides"
Aquamarine,"Heart, Throat","Aries, Gemini, Pisces","Calming Energy, Stress-Relief, Communication, Seasickness"
Aragonite,All,Capricorn,"Courage, Motivation, Self-Awareness, Spiritual Healing, Inner Balance"
Atlantisite,All,"Virgo, Libra","Compassion, Ancient Wisdom, Kundalini Energy"
Aura Quartz Crystals,All,None,"High Frequency, Protection, Positive Energy"
Auralite 23,Crown,"Aquarius, Pisces","Intuition, Wisdom, Spiritual Growth"
Aventurine,Heart,Virgo,"Luck, Wealth, Good Fortune"
Azeztulite,Crown,Leo,"Consciousness, Meditation, Peace"
Azurite,Third eye,"Taurus, Aquarius, Sagittarius","Insight, Intuition, Intellect"
Azurite-Malachite,"Third eye, Heart","Capricorn, Aquarius, Sagittarius","Insight, Clarity, Emotional Healing"
,,,
